ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 16 name","Attribute 16 value(s)","Attribute 16 visible","Attribute 16 global","Attribute 17 name","Attribute 17 value(s)","Attribute 17 visible","Attribute 17 global","Attribute 18 name","Attribute 18 value(s)","Attribute 18 visible","Attribute 18 global","Attribute 19 name","Attribute 19 value(s)","Attribute 19 visible","Attribute 19 global"
6172,simple,F2370,,"Micron Technologies 80 GPH Bag Filter F2370",1,0,visible,"Aluminum vessel.  Stainless steel 1/8&quot;.  Perforated strainer basket.   Ratings of 1 to 1000 micron bags.","Micron Technologies 80 GPH Bag Filter F2370",,,taxable,,0,0,,0,0,21,,,,0,,,750,Filters,,,"https://lanco-corp.com/wp-content/uploads/2021/03/F2370.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370H.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370I.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/F2370J.jpg",,,,,,,,,1104,,inventory,F2370,1,1,Manufacturer,"Micron Technolgies",1,1,model,"H668GP15AL2A-CL1.5 P 1/8",1,1,"New / Used",Used,1,1,weight,21,1,1,size,"8"" Dia. x 18""",1,1,style,Bag,1,1,GPH,80,1,1,dimensions,"20""L x 9""W x 39""H",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6184,simple,EB2263,,"Binks 2 HP Steel Tube Axial Fan EB2263-Blowers - Exhaust",1,0,visible,"Stock location is N32A.  Tested and checked out.  Shipping Dimensions:  48&quot;L x 36&quot;W x 32&quot;H,  279 lbs.","Binks 2 HP Steel Tube Axial Fan EB2263</p>",,,taxable,,0,0,,0,0,229,,,,0,,,775,"Blowers - Exhaust",,,"https://lanco-corp.com/wp-content/uploads/2021/05/EB2263.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263A.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263B.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263C.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263D.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263E.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263F.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263G.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263H.jpg, https://lanco-corp.com/wp-content/uploads/2021/05/EB2263I.jpg",,,,,,,,,2191,,inventory,EB2263,1,1,Manufacturer,Binks,1,1,model,"0-240 6",1,1,hp,2,1,1,CFM,0,1,1,press,.0,1,1,material,Steel,1,1,Volts,208-230/460,1,1,oad,"36""L x 27""W x 23""H",1,1,rpm,1750,1,1,phase,3,1,1,weight,229,1,1,"New / Used",Used,1,1,serial-num,20/5149,1,1,inlet-inches,24,1,1,outlet-inches,24,1,1,,,,,,,,,,,,
6185,simple,EB2264,,"Brinks 2 HP Tube Axial Fan EB2264-Blowers - Exhaust",1,0,visible,"Stock location is N33D.  Tested and checked out.","Brinks 2 HP Tube Axial Fan EB2264</p>",,,taxable,,0,0,,0,0,330,,,,0,,,775,"Blowers - Exhaust",,,"https://lanco-corp.com/wp-content/uploads/2021/03/EB2264.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2264H.jpg",,,,,,,,,2193,,inventory,EB2264,1,1,Manufacturer,Brinks,1,1,model,0-4206,1,1,hp,2,1,1,CFM,0,1,1,press,.0,1,1,material,Steel,1,1,Volts,208-230/460,1,1,rpm,1730,1,1,phase,3,1,1,weight,330,1,1,"New / Used",Used,1,1,serial-num,205148,1,1,inlet-inches,24,1,1,outlet-inches,24,1,1,,,,,,,,,,,,,,,,
6195,simple,EB2266,,"New York Blower 5500 CFM 5 HP Steel Plug Fan EB2266-Blowers - Exhaust",1,0,visible,"Tested and checked out.","New York Blower 5500 CFM 5 HP Steel  Plug Fan EB2266</p>",,,taxable,,0,0,,0,0,495,,,,0,,,1125,"Blowers - Exhaust",,,"https://lanco-corp.com/wp-content/uploads/2021/03/EB2266.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/EB2266G.jpg",,,,,,,,,4557,,inventory,EB2266,1,1,Manufacturer,"New York Blower",1,1,model,B00004120,1,1,hp,5,1,1,CFM,5500,1,1,press,3,1,1,material,Steel,1,1,Volts,230/460,1,1,oad,"34""L x 28""W x 50""H",1,1,rpm,1750,1,1,phase,3,1,1,weight,495,1,1,"New / Used",Used,1,1,serial-num,224524,1,1,inlet-inches,"12"" Dia.",1,1,outlet-inches,"24"" x 24""",1,1,,,,,,,,,,,,
6204,simple,MH2214,,"Bishamon Self Leveling Pallet Carousel Positioner MH2214",1,0,visible,"Lifts up to 30"" high.  75 max PSI.  Tested.","Bishamon Self Leveling Pallet Carousel Positioner MH2214",,,taxable,,0,0,,0,0,500,,,,0,,650,1325,"Material Handling",,,"https://lanco-corp.com/wp-content/uploads/2021/03/MH2214.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MH2214A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MH2214B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MH2214C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MH2214D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MH2214E.jpg",,,,,,,,,2394,,inventory,MH2214,1,1,Manufacturer,Bishamon,1,1,model,"EZ Loader",1,1,"New / Used",Used,1,1,weight,500,1,1,Capacity,"3000 Lbs.",1,1,Type,"Pallet Carousel Positioner",1,1,dimensions,"54""L x 44""W x 9""H",1,1,on-hand,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6211,simple,O2092,,"Chicago Electric Power Tools Batch Lab Over O2092",1,0,visible,"13.8 Amps.  Tested.","Chicago Electric Power Tools Batch Lab Over O2092",,,taxable,,0,0,,0,0,147,,,,0,,,725,Ovens,,,"https://lanco-corp.com/wp-content/uploads/2021/03/O2092.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/O2092A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/O2092B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/O2092C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/O2092D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/O2092E.jpg",,,,,,,,,5328,,inventory,O2092,1,1,Manufacturer,"Chicago Electric Power Tools",1,1,hp,0,1,1,Volts,110,1,1,"New / Used",Used,1,1,weight,147,1,1,style,Batch/Lab,1,1,Watts,0,1,1,Temperature,480,1,1,inner-dimension,"18""L x 18""W x 18""H",1,1,outer-dimension,"27""L x 25""W 36""H",1,1,electric-gas,Electric,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6218,simple,FP2372,,"Hoesch 125 Cu' Hydraulic Filter Press FP2372",1,0,visible,"<p>As-Is Pricing.&nbsp; Add $ 34,000 To Fully Refurbish.&nbsp; Poly-Pro Non-Gasketed Plates.&nbsp; Tested.</p>","Hoesch 125 Cu' Hydraulic Filter Press FP2372",,,taxable,,0,0,,0,0,28000,,,,0,,,65000,"Filter Presses",,,"https://lanco-corp.com/wp-content/uploads/2021/03/FP2372.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2372A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2372B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2372C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2372D.jpg",,,,,,,,,4866,,"Air / Manual",Air/Hydraulic,1,1,inventory,FP2372,1,1,"Cubic Feet","125 Cu'",1,1,Manufacturer,Hoesch,1,1,model,32/1450mm,1,1,oad,"300""L x 80""W x 93""H",1,1,weight,28000,1,1,"New / Used",Used,1,1,"Cubic Feet Range","20.5 + Cubic Feet",0,1,style,Air/Hydraulic,1,1,number-plates,55,1,1,"Plate Size","1450 mm",1,1,"Gasketed / Non-Gasketed",Non-Gasketed,1,1,plate-shifter,No,1,1,description,"Used Filter Press",1,1,,,,,,,,,,,,,,,,
6224,simple,FP2374,,"Hoesch 125 Cu' Hydraulic Filter Press FP2374",1,0,visible,"<p>As-Is Pricing.&nbsp; Add $ 34,000 To Fully Refurbish.&nbsp; Poly-Pro Non-Gasketed Plates.&nbsp; Tested.</p>","Hoesch 125 Cu' Hydraulic Filter Press FP2374",,,taxable,,0,0,,0,0,9999,,,,0,,,65000,"Filter Presses",,,"https://lanco-corp.com/wp-content/uploads/2021/03/FP2374.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2374A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2374B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2374D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2374E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2374F.jpg",,,,,,,,,4867,,"Air / Manual",Air/Hydraulic,1,1,inventory,FP2374,1,1,"Cubic Feet","125 Cu'",1,1,Manufacturer,Hoesch,1,1,model,32/1450/mm,1,1,oad,"300""L x 68""W x 73""",1,1,weight,9999,1,1,"New / Used",Used,1,1,"Cubic Feet Range","20.5 + Cubic Feet",0,1,style,Air/Hydraulic,1,1,number-plates,55,1,1,"Plate Size","1450 mm",1,1,"Gasketed / Non-Gasketed",Non-Gasketed,1,1,plate-shifter,No,1,1,description,"Used Filter Press",1,1,,,,,,,,,,,,,,,,
6231,simple,FP2377,,"Used Filter Press - JWI Air Operated Plate Shifter for JWI Filter Press FP2377-Filter Presses",1,0,visible,"Plate Shifter for JWI Filter Press with 630 mm plates.","Used Filter Press - JWI  Air Operated Plate Shifter for JWI Filter Press FP2377",,,taxable,,0,0,,0,0,277,,,,0,,,1575,"Filter Presses",,,"https://lanco-corp.com/wp-content/uploads/2021/03/FP2377-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2377A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2377B-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2377C-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2377D-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2377E-scaled.jpg",,,,,,,,,4886,,"Air / Manual",Air/Hydraulic,1,1,inventory,FP2377,1,1,Manufacturer,JWI,1,1,"Gasketed / Non-Gasketed",Gasketed,1,1,oad,"47""L x 32""W x 37""H",1,1,"New / Used",Used,1,1,weight,277,1,1,style,"Air Operated",1,1,number-plates,0,1,1,"Plate Size",0,1,1,description,"JWI Plate Shifter",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6238,simple,C2073,,"Marley 60 Ton Cooling Tower C2073",1,0,visible,"Estimated weight is 2500 lbs. Could be wired for 480 volt. Tested and checked out.","Marley 60 Ton Cooling Tower C2073",,,taxable,,0,0,,0,0,9999,,,,0,,,7500,"Chilling & Cooling Towers",,,"https://lanco-corp.com/wp-content/uploads/2021/03/C2073-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/C2073A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/C2073B-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/C2073C-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/C2073D-scaled.jpg",,,,,,,,,4032,,inventory,C2073,1,1,Manufacturer,Marley,1,1,hp,3,1,1,Volts,240,1,1,rpm,1730,1,1,"New / Used",Used,1,1,phase,3,1,1,weight,9999,1,1,serial-num,35438-2/159756A/4842,1,1,Type,"Cooling Tower",1,1,Ton,60,1,1,cooling,Water,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6244,simple,IH2672,,"Used Immersion Heater - Accutherm Inc. Incoloy Immersion Heater IH2672-Immersion Heater",1,0,visible,,"<p>Used Immersion Heater - Accutherm Inc. Incoloy Immersion Heater IH2672</p>",,,taxable,,0,0,,0,0,105,,,,0,,,850,"Immersion Heaters",,,"https://lanco-corp.com/wp-content/uploads/2021/03/IH2672.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672H.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/IH2672I.jpg",,,,,,,,,5065,,inventory,IH2672,1,1,Manufacturer,"Accutherm Inc",1,1,model,30-11-N-8,1,1,material,Incoloy,1,1,Volts,480,1,1,phase,3,1,1,"New / Used",Used,1,1,weight,105,1,1,style,Flange,1,1,tube-length-in,21,1,1,Watts,72000,1,1,Amps,0,1,1,riser-height-in,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
6255,simple,SD2622,,"Used Spin Dryer - Nobles 12&quot; x 18&quot; Spin Dryer SD2622-Spin Dryers",1,0,visible,"12 Diameter x 18&quot; Deep.   Tested and Checked Out.","Used Spin Dryer - Nobles 12&quot; x 18&quot; Spin Dryer SD2622",,,taxable,,0,0,,0,0,575,,,,0,,,6975,"Spin Dryers",,,,,,,,,,,,5890,,inventory,SD2622,1,1,Manufacturer,Nobles,1,1,model,T28,1,1,hp,1.5,1,1,Volts,230,1,1,phase,3,1,1,"New / Used",Used,1,1,weight,575,1,1,Amps,23,1,1,"Basket Size","12"" x 18""",1,1,Heat,Electric,1,1,max-load,100,1,1,basket-speed,"725 RPM",1,1,,,,,,,,,,,,,,,,,,,,,,,,
6256,simple,MX2698,,"Lightnin .3 HP Mixer MX2698",1,0,visible,"Uses .75"" Flange Shaft.    Tested.","Lightnin .3 HP Mixer MX2698",,,taxable,,0,0,,0,0,50,,,,0,,,950,Mixers,,,"https://lanco-corp.com/wp-content/uploads/2021/03/MX2698-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MX2698A-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MX2698B-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MX2698C-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MX2698D-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MX2698E-scaled.jpg",,,,,,,,,1908,,inventory,MX2698,1,1,Manufacturer,Lightnin,1,1,model,XJ-30,1,1,hp,0.33,1,1,Volts,208-230/460,1,1,"New / Used",Used,1,1,rpm,1725,1,1,weight,50,1,1,serial-num,93/B6696,1,1,drive,Gear,1,1,clamp,Yes,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6263,simple,AK1182,,"Used Air Knife Blower - Garden City 3 HP Air Knife Blower 230/460-Blowers -Air Knife/Circulation",1,0,visible,"RPM: 3800.  Location: E3C.","Used Air Knife Blower - Garden City 3 HP Air Knife Blower 230/460",,,taxable,,0,0,,0,0,195,,,,0,,,874,"Blowers - Air Knife - Circulation",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AK1182.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AK1182A.jpg",,,,,,,,,3885,,inventory,AK1182,1,1,Manufacturer,"Garden City",1,1,hp,0.3,1,1,CFM,0,1,1,material,Steel,1,1,Volts,230/460,1,1,inlet-in,6,1,1,outlet-in,5,1,1,"New / Used",Used,1,1,weight,195,1,1,serial-num,101190,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,simple,DP2701,,"Wilden Aluminum 1&quot; Inlet .75&quot; Outlet Diaphragm Pump DP2701-Pumps - Diaphragm",1,0,visible,"Water Tested.","Wilden Aluminum 1"" Inlet .75"" Outlet Diaphragm Pump DP2701</p>",,,taxable,,0,0,,0,0,24,,,,0,,,600,"Pumps - Diaphragm",,,"https://lanco-corp.com/wp-content/uploads/2021/03/DP2701.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/DP2701A.jpg",,,,,,,,,1933,,inventory,DP2701,1,1,Manufacturer,Wilden,1,1,material,Aluminum,1,1,"New / Used",Used,1,1,weight,24,1,1,model-nbr,M2,1,1,GPM,37,1,1,inlet-inches,1,1,1,outlet-inches,.75,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,simple,MP2181,,"Seametrics Flow Control Meter  MP2181",1,0,visible,"3"" IPS PVC Tee Fitting with Insertion Paddle Wheel Flow Sensor.","Seametrics Flow Control Meter  MP2181",,,taxable,,0,0,,0,0,5,,,,0,,,195,"Pumps - Metering",,,"https://lanco-corp.com/wp-content/uploads/2021/03/MP2181.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2181A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2181B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2181C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2181D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2181E.jpg",,,,,,,,,5231,,inventory,MP2181,1,1,Manufacturer,Seamertics,1,1,model,K:27.9MF82S-P-300-16,1,1,"New / Used",Used,1,1,weight,5,1,1,psi,0,1,1,serial-num,12051676,1,1,GPH,0,1,1,gpd,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6276,simple,MP2182,,"Used Metering Pump - Seametrics Flow Control Meter MP2182-Pumps - Metering",1,0,visible,"3&quot; IPS PVC Tee Fitting with Insertion Paddle Wheel Flow Sensor.","Used Metering Pump - Seametrics Flow Control Meter MP2182",,,taxable,,0,0,,0,0,5,,,,0,,,195,"Pumps - Metering",,,"https://lanco-corp.com/wp-content/uploads/2021/03/MP2182.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/MP2182F.jpg",,,,,,,,,5233,,inventory,MP2182,1,1,Manufacturer,Seametrics,1,1,model,K:29.3MF82S-P-300-16,1,1,"New / Used",Used,1,1,weight,5,1,1,psi,0,1,1,serial-num,12051675,1,1,GPH,0,1,1,gpd,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284,simple,FP2379C,,"New MW Watermark 10 Cu' Air/Hydraulic Filter Press FP2379C-Filter Presses",1,0,visible,"<p>Filtration area is 189 Sq. Ft. Filter cloth and gasketing installed and included. 26"" under plate clearance.</p>","New MW Watermark 10 Cu' Air/Hydraulic Filter Press FP2379C</p>",,,taxable,,0,0,,0,0,2850,,,,0,,,36943,"Filter Presses",,,"https://lanco-corp.com/wp-content/uploads/2021/03/FP2379C-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2379CA-scaled.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/FP2379CB-scaled.jpg",,,,,,,,,3456,,"Air / Manual",Air/Hydraulic,1,1,inventory,FP2379C,1,1,"Cubic Feet","10 Cu'",1,1,Manufacturer,"MW Watermark",1,1,model,FP630G32L-32-10AXX,1,1,oad,"141""L x 35""W x 52""H",1,1,weight,2850,1,1,"New / Used",New,1,1,"Cubic Feet Range","4-10 Cubic Feet",0,1,style,Air/Hydraulic,1,1,number-plates,32,1,1,"Plate Size","630 mm",1,1,"Gasketed / Non-Gasketed",Gasketed,1,1,plate-shifter,No,1,1,description,"New Filter Press",1,1,,,,,,,,,,,,,,,,
6288,simple,AC2049,,"Gardner Denver 150 HP Screw Air Compressor AC2049",1,0,visible,"Tested. Auto Sentry ES &amp; Controller. OAD: 118""L x 69""W x 75""H.","Gardner Denver 150 HP Screw Air Compressor AC2049\n\nhttps://youtu.be/7PCs2fBOpVM",,,taxable,,0,0,,0,0,6280,,,,0,,,11950,"Air Compressors",,,"https://lanco-corp.com/wp-content/uploads/2021/03/AC2049.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049E.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049F.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049G.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049H.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049I.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049J.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049K.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049L.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049M.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049N.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049O.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049P.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/AC2049Q.jpg",,,,,,,,,3610,,inventory,AC2049,1,1,Manufacturer,"Gardner Denver",1,1,model,EAQ99K,1,1,hp,150,1,1,CFM,726,1,1,Volts,460,1,1,"New / Used",Used,1,1,weight,6280,1,1,psi,100,1,1,serial-num,S2076093,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307,simple,LE2084,,"Partlow Two Pen Circle Chart Recorder LE2084",1,0,visible,Tested.,"Partlow Two Pen Circle Chart Recorder LE2084",,,taxable,,0,0,,0,0,10,,,,0,,,950,"Lab Equipment",,,"https://lanco-corp.com/wp-content/uploads/2021/03/LE2084.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2084A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2084B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2084C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2084D.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2084E.jpg",,,,,,,,,5203,,inventory,LE2084,1,1,Manufacturer,Partlow,1,1,model,7.11E+11,1,1,Volts,115,1,1,"New / Used",Used,1,1,weight,10,1,1,serial-num,1261135-0001,1,1,Type,"Two Pen",1,1,style,"MRC 7000 Series",1,1,dimensions,"16""L x 13""W x 5""H",1,1,Amps,5,1,1,on-hand,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6314,simple,LE2086,,"Used Lab Equipment - Partlow One Pen Circle Chart Recorder LE2086-Lab Equipment",1,0,visible,Tested.,"Used Lab Equipment - Partlow One Pen Circle Chart Recorder LE2086",,,taxable,,0,0,,0,0,10,,,,0,,,950,"Lab Equipment",,,"https://lanco-corp.com/wp-content/uploads/2021/03/LE2086.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2086A.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2086B.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2086C.jpg, https://lanco-corp.com/wp-content/uploads/2021/03/LE2086D.jpg",,,,,,,,,5202,,inventory,LE2086,1,1,Manufacturer,Partlow,1,1,model,71000000021,1,1,Volts,115,1,1,"New / Used",Used,1,1,weight,10,1,1,serial-num,99J25511,1,1,Type,"One Pen",1,1,style,"MRC 7000 Series",1,1,dimensions,"16""L x 13""W x 5""H",1,1,Amps,5,1,1,on-hand,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
